|description|coarse_grained_pos|fine_grained_pos
0| A young woman with a white and blue hat and uniform yells to others dressed the same .|DET ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN CCONJ ADJ NOUN ADP NOUN VERB DET ADJ PUNCT|DT JJ NN IN DT JJ CC JJ NN CC JJ NNS IN NNS VBD DT JJ .
1| Women weaving baskets with a child in between them .|NOUN VERB NOUN ADP DET NOUN ADP ADP PRON PUNCT|NNS VBG NNS IN DT NN IN IN PRP .
2| Three construction workers are working on a scaffolding .|NUM NOUN NOUN AUX VERB ADP DET NOUN PUNCT|CD NN NNS VBP VBG IN DT NN .
3| A large group of people explore around a rock structure .|DET ADJ NOUN ADP NOUN VERB ADP DET NOUN NOUN PUNCT|DT JJ NN IN NNS VBP IN DT NN NN .
4| A young woman with long blond-hair and sunglasses is waiting at a building .|DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ NOUN AUX VERB ADP DET NOUN PUNCT|DT JJ NN IN JJ JJ NN CC NNS VBZ VBG IN DT NN .
5| A brown dog jumped into the air and caught a Frisbee .|DET ADJ NOUN VERB ADP DET NOUN CCONJ VERB DET PROPN PUNCT|DT JJ NN VBD IN DT NN CC VBD DT NNP .
6| Two shirtless men and one fully clothed woman are standing in a body of water in winter .|NUM NOUN NOUN CCONJ NUM ADV VERB NOUN AUX VERB ADP DET NOUN ADP NOUN ADP NOUN PUNCT|CD NN NNS CC CD RB VBN NN VBP VBG IN DT NN IN NN IN NN .
7| The man in the gray hooded jacket finds the missing piece .|DET NOUN ADP DET ADJ ADJ NOUN VERB DET VERB NOUN PUNCT|DT NN IN DT JJ JJ NN VBZ DT VBG NN .
8| Men setting up to take a shot with their guns .|NOUN VERB ADP PART VERB DET NOUN ADP PRON NOUN PUNCT|NNS VBG RP TO VB DT NN IN PRP$ NNS .
9| Two older men walking in a field , one holding model airplane parts .|NUM ADJ NOUN VERB ADP DET NOUN PUNCT NUM VERB NOUN NOUN NOUN PUNCT|CD JJR NNS VBG IN DT NN , CD VBG NN NN NNS .
10| A line of people are praying together in a church .|DET NOUN ADP NOUN AUX VERB ADV ADP DET NOUN PUNCT|DT NN IN NNS VBP VBG RB IN DT NN .
11| A woman in a white shirt is talking on her yellow cellphone .|DET NOUN ADP DET ADJ NOUN AUX VERB ADP PRON ADJ NOUN PUNCT|DT NN IN DT JJ NN VBZ VBG IN PRP$ JJ NN .
12| a baby sticking wheat grass into his mouth|DET NOUN VERB NOUN NOUN ADP PRON NOUN|DT NN VBG NN NN IN PRP$ NN
13| A female outside with a uniform on .|DET NOUN ADV ADP DET NOUN ADP PUNCT|DT NN RB IN DT NN RP .
14| Three people retrieve a net on a beach .|NUM NOUN VERB DET NOUN ADP DET NOUN PUNCT|CD NNS VBP DT NN IN DT NN .
15| A man in a green shirt hailing a cab .|DET NOUN ADP DET ADJ NOUN VERB DET NOUN PUNCT|DT NN IN DT JJ NN VBG DT NN .
16| Two people crossing by each other while kite surfing .|NUM NOUN VERB ADP DET ADJ SCONJ NOUN NOUN PUNCT|CD NNS VBG IN DT JJ IN NN NN .
17| A young black man wearing a red shirt and jeans is holding a bunch of weeds .|DET ADJ ADJ NOUN VERB DET ADJ NOUN CCONJ NOUN AUX VERB DET NOUN ADP NOUN PUNCT|DT JJ JJ NN VBG DT JJ NN CC NNS VBZ VBG DT NN IN NNS .
18| A man sits on a stool in front of a shop .|DET NOUN VERB ADP DET NOUN ADP NOUN ADP DET NOUN PUNCT|DT NN VBZ IN DT NN IN NN IN DT NN .
19| An artist painting a model dress in old-timey clothes .|DET NOUN VERB DET NOUN NOUN ADP ADJ ADJ NOUN PUNCT|DT NN VBG DT NN NN IN JJ JJ NNS .
20| A group of African people are awaiting to receive a bag .|DET NOUN ADP ADJ NOUN AUX VERB PART VERB DET NOUN PUNCT|DT NN IN JJ NNS VBP VBG TO VB DT NN .
21| A woman is pushing her child in a four-wheeled cart .|DET NOUN AUX VERB PRON NOUN ADP DET NUM ADJ NOUN PUNCT|DT NN VBZ VBG PRP$ NN IN DT CD JJ NN .
22| A black horse stands in the grass at a fence , while a brown dog looks on .|DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT SCONJ DET ADJ NOUN VERB ADP PUNCT|DT JJ NN VBZ IN DT NN IN DT NN , IN DT JJ NN VBZ RP .
23| A man riding a bicycle and other people walking on a street in a foreign city .|DET NOUN VERB DET NOUN CCONJ ADJ NOUN VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT|DT NN VBG DT NN CC JJ NNS VBG IN DT NN IN DT JJ NN .
24| A middle-aged man standing at a podium , speaking .|DET ADJ ADJ NOUN VERB ADP DET NOUN PUNCT VERB PUNCT|DT JJ JJ NN VBG IN DT NN , VBG .
25| An official in a blue jacket sits on the sidelines of a tennis match .|DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT|DT NN IN DT JJ NN VBZ IN DT NNS IN DT NN NN .
26| Brown puppy biting pole|PROPN ADJ VERB NOUN|NNP JJ VBG NN
27| A man is sitting outside in a brown fabric chair .|DET NOUN AUX VERB ADV ADP DET ADJ NOUN NOUN PUNCT|DT NN VBZ VBG RB IN DT JJ NN NN .
28| A group of poor African children sitting in a classroom .|DET NOUN ADP ADJ ADJ NOUN VERB ADP DET NOUN PUNCT|DT NN IN JJ JJ NNS VBG IN DT NN .
29| A young adult wearing rollerblades , holding a cellular phone to her ear .|DET ADJ NOUN VERB NOUN PUNCT VERB DET ADJ NOUN ADP PRON NOUN PUNCT|DT JJ NN VBG NNS , VBG DT JJ NN IN PRP$ NN .
30| A group of campers is eating dinner near their fire .|DET NOUN ADP NOUN AUX VERB NOUN ADP PRON NOUN PUNCT|DT NN IN NNS VBZ VBG NN IN PRP$ NN .
31| A woman and man meet at a restaurant to talk , while sitting in the outside area .|DET NOUN CCONJ NOUN VERB ADP DET NOUN PART VERB PUNCT SCONJ VERB ADP DET ADJ NOUN PUNCT|DT NN CC NN VB IN DT NN TO VB , IN VBG IN DT JJ NN .
32| A person prays at a shrine .|DET NOUN VERB ADP DET NOUN PUNCT|DT NN VBZ IN DT NN .
33| A woman wearing a black top standing in front of and holding a microphone .|DET NOUN VERB DET ADJ NOUN VERB ADP NOUN ADP CCONJ VERB DET NOUN PUNCT|DT NN VBG DT JJ NN VBG IN NN IN CC VBG DT NN .
34| Workers in orange vest painting an underground railway .|NOUN ADP PROPN NOUN VERB DET ADJ NOUN PUNCT|NNS IN NNP NN VBG DT JJ NN .
35| A blond toddler with a ponytail rides a bucket swing .|DET ADJ NOUN ADP DET NOUN VERB DET NOUN NOUN PUNCT|DT JJ NN IN DT NN VBZ DT NN NN .
36| A large display of a child 's face over a water park .|DET ADJ NOUN ADP DET NOUN PART NOUN ADP DET NOUN NOUN PUNCT|DT JJ NN IN DT NN POS NN IN DT NN NN .
37| A woman with bright red-hair standing on the street .|DET NOUN ADP ADJ ADJ NOUN VERB ADP DET NOUN PUNCT|DT NN IN JJ JJ NN VBG IN DT NN .
38| Greyhound dogs wearing racing stripes are running out of a gate on a track .|NOUN NOUN VERB NOUN NOUN AUX VERB ADP ADP DET NOUN ADP DET NOUN PUNCT|NN NNS VBG NN NNS VBP VBG IN IN DT NN IN DT NN .
39| Man in a blue shirt , holding a newspaper while looking straight ahead .|NOUN ADP DET ADJ NOUN PUNCT VERB DET NOUN SCONJ VERB ADV ADV PUNCT|NN IN DT JJ NN , VBG DT NN IN VBG RB RB .
40| Physically challenged person sitting on his wheelchair in a park .|ADV VERB NOUN VERB ADP PRON NOUN ADP DET NOUN PUNCT|RB VBD NN VBG IN PRP$ NN IN DT NN .
41| Two older men are sitting on opposite ends of a bench .|NUM ADJ NOUN AUX VERB ADP ADJ NOUN ADP DET NOUN PUNCT|CD JJR NNS VBP VBG IN JJ NNS IN DT NN .
42| A smiling costumed woman is holding an umbrella .|DET VERB VERB NOUN AUX VERB DET NOUN PUNCT|DT VBG VBN NN VBZ VBG DT NN .
43| A little boy is playing and there is a soccer ball .|DET ADJ NOUN AUX VERB CCONJ PRON VERB DET NOUN NOUN PUNCT|DT JJ NN VBZ VBG CC EX VBZ DT NN NN .
