|description|target
0| A boxer in red lands a glancing blow off of a boxer in white .|0
1| A dog running through the water right toward the camera .|0
2| A man in a gray suit is in talking front of a microphone .|1
3| A local musician up on , stage playing guitar .|1
4| A person hangs from ropes high in the air next to a building .|0
5| Three in men a band playing musical instruments .|1
6| A in man a collared shirt holds an unwrapped Christmas gift .|1
7|" Three women in elaborate costumes hold up """" I Love You """" cards ."|0
8| A bearded man wearing a bandanna pointing is his finger whilst riding a bicycle .|1
9| The girls play in the pumpkin patch .|0
10| People at relaxing the park .|1
11| A skateboarder is doing trick a off of a ramp while a guy looks on .|1
12| Two men in army-colored uniforms sawing a piece of wood on a construction site .|0
13| Five people are wading and swimming at the edge a of river or lake .|1
14| A man jean in shorts is plugging a cord into a wall .|1
15| Recovery scuba divers on a boat heading to a scene .|0
16| Female looking at male while male away looks .|1
17| The man in the yellow hard hat standing is there in an orange life vest .|1
18| A singer performs on stage at a concert .|0
19| Three men eating food on a couch .|0
20| A pair of office workers diligently are performing their tasks on messy desks .|1
21| Man riding a motorcycle on a road with pieces of cars on the side of the road .|0
22| Two baseball players shake hands .|0
23| A man walks close to a construction zone is that clearly marked .|1
24| Three young men wearing shorts or swimsuits are playing on a beach during a sunset|0
25| A middle-aged man taking a rest after trapeze his act in the circus .|1
26| A group of pedestrians using are a crosswalk in a city .|1
27| A little boy is a watching woman .|1
28| little watching boy working man outside his home|1
29| A standing woman in a group of people in an office like setting .|1
30| A teenage boy does tricks on his skateboard in an area with much graffiti .|0
31| A man in a blue pin striped shirt waiting his for food that he has ordered .|1
32| Several people trying are to climb a ladder in a tree .|1
33| A man behind an old fashioned bank teller desk holds a pencil and smiles .|0
34| An elderly woman , man a and a woman standing on a sidewalk together .|1
35| Two men dressed in matching blue uniforms , celebrate a victory .|0
36| A young girl wearing pink a hat and young boy wearing a dark shirt are eating cake .|1
37| A group of men are standing on wooded pier as the sun sets .|0
38| A large group of men and woman all wearing red t-shirts participate in a race .|0
39| A guitar player with a hat black , performing on his knees .|1
40| A full stadium watches a soccer match while food a vendor stands in the foreground .|1
41| A man performing a trick on a skateboard at a graffiti covered skate park .|0
42| A little boy smiles as he stands in a large inflatable toy .|0
43| Teams on assemble a soccer field wearing blue , red , and yellow uniforms .|1
44| A photographer is taking a picture of a team wearing red .|0
45| A group of people sitting around a table with paper in front of them .|0
46| A shirtless boy is walking down the beach a holding large branch .|1
47| A large dog walks along a gravel path in the woods .|0
48| Several men are working on tiles together while sitting on the floor .|0
49| A young man , wearing a white shirt , prepares hotdogs on a small grill .|0
50| Two girls with yellow hanging bags out at a bar .|1
51| A toddler with a blue scarf wrapped on his head with plays a wooden toy .|1
52| A woman runner in red is getting drenched in rain the .|1
53| Someone is performing in the open an without audience .|1
54| A man in blue shirt and pants stands in front of a large sign a displaying yak .|1
55| A boy begins to ride a bike as a man holds the back of it .|0
56| A black and yellow bird is a eating worm while resting on the grassy ground .|1
57| White dog biting orange cat .|0
58| Two men together , one watching , one resting .|0
59| A child enjoys time their on the beach with a leap from a rock onto the sand .|1
60| A person wearing a yellow jacket is riding white a motorcycle by a crowd of onlookers .|1
61| Man riding a surfboard on wave a .|1
62| A woman in green boots and a bag green talking on her cellphone as she walks .|1
63| A boy having fun while playing Hacky Sack .|0
64| A man falls onto the ball a during game of rugby .|1
65| A teenage girl with a shaved head walks a in brown skirt and blue jean jacket .|1
66| A man jumping his bicycle off dirt mounds several is feet in the air .|1
67| A man with inflatable hammers and other inflatable goods .|0
68| The couple is kissing and lady red in turning her back .|1
69| A golfer , wearing all brown , takes a swing towards the trees on a golf course .|0
70| Woman running down a center white line holding a javelin .|0
71| A boy in a park is watching a pigeon away fly .|1
72| Two young men wearing sunglasses and white polo shirts are standing outdoors looking at newspapers .|0
73| Wearing identical necklaces , a and woman a man with a painted face embrace .|1
74| A woman with an orange shirt selling vegetables on street the .|1
75| A small girl in a tub water of .|1
76| An old man and a baby in red .|0
77| a person taking a picture of a crowded place|0
78| One surfer rides a wave while another surfer paddles at the base of the wave .|0
79| A wet dog carrying a stick in its mouth is walking out of the lake .|0
80| A lady and two small children are sitting on a park bench with pigeons at their feet .|0
81| This is an Asian looking Woman at shoes to purchase at a local swap meet .|1
82| Large ground of men women and listening to something .|1
83| A black woman is looking at her cellphone .|0
84| Men in black talk hats to a cop on the street .|1
85| A man sitting at a piano singing .|0
86| A man in a hoodie is looking at a pad of paper , outside a window .|0
87| A man in a uniform with is glasses playing a french horn .|1
88| Several elderly people are interacting with others .|0
89| A firefighter looking out the window .|0
90| The muzzled dog with the number eight races on the dirt track .|0
91| Man outside in the rain promoting a 50 % off sale .|0
92| Two men in black coats stand by the side of a building .|0
93| There is a hanging man in the air from a pole .|1
94| A cello player is playing during concert a .|1
95| Four young children are walking barefoot while carrying bags of fruit .|0
96| Two women walk with purses walk down the street .|0
97| Women in robes walk across a marble floor .|0
98| A man sits outside in the partial shade in a hammock reading something .|0
99| construction workers fixing an elevator shaft|0
100| The cat looks away from the next person to it .|1
101| in Man a white shirt with a gold watch playing with a circuit board .|1
102| brown long-haired in dog garden .|1
103| A little girl in a yellow dress points while she holds a and ribbon a flower .|1
104| Singer performing on stage with acoustics|0
105| A man is jumping with his body forward toward a photograph screen and a large photography light .|0
106| Two men dressed in slacks , one in brown sweater and one in blue sweater , sweeping .|0
107| hikers The climb the staircase in the woods .|1
108| A group of people jumping into air the at the beach .|1
109| A man with a beer alone sits at a table .|1
110| Three construction workers are standing on a boat while one of the men points at something .|0
111| Group of women standing in front of a shop wearing a blond and wig black jacket .|1
112| model A is being photographed in a street .|1
113| A dog jumps for the woman 's treat .|0
114| A five member band is performing live music .|0
115| A band is performing on stage .|0
116| Two men cleaning a science laboratory .|0
117| A woman in black heels is speaking with another woman large wearing hoop earrings .|1
118| is Grandma introducing her granddaughter , the cellist .|1
119| Several young women walking along a beautiful hallway|0
120| Two kids and a woman are sitting outside a on porch .|1
121| Four police officers standing on a street with a clown walking in front of them .|0
122| children Two playing in the sand .|1
123| Three men getting some kind of grass together on a windy day .|0
124| Friends going are canoeing .|1
125| A man brown in shoes sits against a gray wall .|1
126| A man lit in purple light plays a guitar sings and .|1
127| A brown dog is lying on a grassy field as the blows wind through his fur .|1
128| A young boy goes through large rocks in the mountains .|0
129| A white dog with orange ribbons is jumping up to see a countertop .|0
130| A male skateboarder performs a stunt over a bicycle rake .|0
131| A few Asian men and one Asian woman sitting at couple a of tables .|1
132| People are sitting around and in playing a fountain .|1
133| An older man a wearing scarf sings through a microphone .|1
134| A woman is tossing a small child in air the playfully .|1
135| A man and a enjoying woman the sunset on the pier .|1
136| Four kids are on playing the sidewalk as two adults watch from chairs behind them .|1
137| A man plays a with baby , holding him up into the air .|1
138| Two men in green shirts are in standing a yard .|1
139| A father and son are in a of field yellow flowers .|1
140| A counter person looks on at a food court .|0
141| a group young of naked children showering outside|1
142| young man showing his small child how to write .|0
143| These two kids look like they are having fun just playing on the sidewalk .|0
144| This man is running a large hand-dyeing operation .|0
145| A young boy in a red shirt is playing with a dollhouse .|0
146| A guy who is pitching a baseball with a blue hat .|0
147| Three young participate girls in ballet instruction .|1
148| A blond man with beard a at a concert holding a violin .|1
149| The News Spokeswomen being interviewed at local seminar .|0
150| A baby girl eats a cookie while seated in a highchair and wearing a bib .|0
151| A child in a bright blue sweatshirt playing in the woods with a wagon red .|1
152| A boy swings a on swing set .|1
153| A small race car with advertising is on driving a rainy track .|1
154| A girl in a helmet rides a horse .|0
155| A man with long hair tied back and wearing a blue shirt playing is a clarinet .|1
156| Many people are at sitting tables that are located outdoors .|1
157| A crowd of people gather for a meal indoors .|0
158| An elderly woman in a light brown coat is walking down a street in a neighborhood .|0
159| Swimmer dives into the blue pool water .|0
160| A young female baseball player slides to home base but caught is by the umpire .|1
161| woman A crouches down with a tennis racket in both hands .|1
162| An artist painting a model dress in old-timey clothes .|0
163| Two males and female a in front of a building having conversation .|1
164| Two children in harnesses are riding on zip lines .|0
165| A young boy in coat sits in a pile of leaves .|0
166| A ski boarder a making jump on a snowy hillside .|1
167| Two women try to block a spike while playing volleyball .|0
168| Women with fake blood and makeup all over her face , chest and neck .|0
169| a woman wearing a black shirt and blue jeans standing on a sidewalk|0
170| woman in the hospital sticking her tongue out|0
171| A man practices karate moves in silhouette with a backdrop of a colorful beach sunset .|0
172| Two children and a black dog are playing out in the snow .|0
173| standing elephant on the tip of its trunk why a man watches .|1
174| Long benchtops with microscopes have works at each station .|0
175| A guy and a girl eating at restaurant a .|1
176| A man and a woman in plastic coverings .|0
177| Six casually dressed people lounge around a small coffee table .|0
178| A woman at the laundry mat is looking for something in her black leather purse .|0
179| A man hammering nails in on a building .|1
180| A child is from leaping one bed to another in the same room .|1
181| The boy in the red shirt is next to a blue wall .|0
182| Two dogs run near together the leaves .|1
183| The girl runs near a pond .|0
184| A guy wearing a white shirt is playing a white guitar .|0
185| A man in a shirt gray is yawning .|1
186| Someone in dressed scuba gear has a body of water behind him .|1
187| A kid is filling a bucket with in water chinatown .|1
188| A couple taking a wedding photo with their wedding party .|0
189| Three and women a man holding drinks pose for a picture .|1
190| There are children two at home , playing .|1
191| Three men items putting on their blue boat .|1
192| A dog stands on the beach a with large rock behind him .|1
193| Two colorfully people dressed are walking on grass by a stone wall .|1
194| The young person in blue & black is standing in cement a tube .|1
195| A blond girl with sunglasses her on head looks squeamish .|1
196| a large tan walking bulldog along the rocky shore of a small stream .|1
197| Woman knitting items for sale in South America .|0
198| Three men dressed in surgical gowns operate on a patient .|0
199| A man in an Easter Bunny costume is handing out to candy children .|1
200| A young lady is wearing bright pink sunglasses and sitting on a trampoline small .|1
201| Multiple men wearing cowboy hats .|0
202| Small fishing models float in water .|0
203| Two men rehearsing , one wearing a checker broad sweater and the other playing a orange guitar .|0
204| There are naked children playing on a bridge wood .|1
205| A man is taking bread out of stove the .|1
206| A little girl is smiling , while running outside .|0
207| a skier going down a hill with cable cars in the background|0
208| women Several are wrapping themselves up in pink , blue and white ribbon .|1
209| A man is doing a flip off a graffiti with wall a city in the background .|1
210| An Asian man is standing on a busy sidewalk as people walk by with bags .|0
211| A skinny brown dog walks across a large piece of fallen tree .|0
212| Two people and a dog are napping in a public park .|0
213| Two men a and woman eating cake at a restaurant .|1
214| A shirtless man wearing a walks vest on a stage with his arms up .|1
215| A crowd sitting in an indoor stadium .|0
216| A young Indian girl a in blue dress is pointing and smiling at the camera .|1
217| A motocross biker is standing and riding his yellow and red motorcycle .|0
218| A woman in a dress black is standing in the distance waiting .|1
219| A very hairy dog is running a down hall .|1
220| The man a wearing jacket has his hand on the handle of a closed outdoor grill .|1
221| woman A and a girl are swinging on a red swing|1
222| A person wearing a white jumpsuit is riding fast a moving motorcycle on a racetrack .|1
223| A man sits behind a wheelbarrow full of vegetables .|0
224| A goalie attempts to a block puck hit by a player at an ice hockey game .|1
225| A man is a fixing bicycle for another man in the snow .|1
226| Two are men performing a sound check .|1
227| A woman cooking over an open hearth .|0
228| a group of people in white coats holding sheep .|0
229| An elderly person wearing a robe on sitting a stool at the bottom of a stairs .|1
230| The girl has a black purse and is sitting on the side of a ledge .|0
231| A girl in a red shirt takes a picture on a phone .|0
232| An African American man a holds sign about the 4th commandment .|1
233| Young man shows off by diving off cliff a in front of his girl .|1
234| Brown dog into jumping the pool|1
235| A boy , an adult and two dogs running through the snow|0
236| A person wearing glasses sits on a train as they read a book .|0
237| A football game .|0
238| Two men wearing yellow vests are lounging with their eyes closed in two rickshaws cycle .|1
239| A group of men in yellow a boat with their dogs .|1
240| A man is backpacking up a grassy hill .|0
241| One of hockey the players just tried to score|1
242| kid holding handles on two wheeled object|0
243| People are standing around outside an object .|0
244| An African Boy Is Looking Out From A Wooden Enclosure , He Is Wearing A Chain Necklace .|0
245| A damaged car is parked across from people in a gray car .|0
246| Two people stand next to inflatable an obstacle course with hand holds .|1
247| A woman using a hoe near her crops on a farm .|0
248| A dog runs for a ball thrown by a small boy .|0
249| Large brown dog with playing soccer ball in snow|1
250| A man wearing an helmet orange is sitting on a crane seat looking down .|1
251| A large greyhound dog races wearing a red shirt .|0
252| A man holds a dog and beer a while sitting in a floral armchair .|1
253| A woman is running towards the base while playing softball .|0
254| A black and brown dog runs through the woods .|0
255| A woman selling homemade under candy a canopy next to a van .|1
256| A man playing a guitar on stage , wearing a black suit .|0
257| A group of women setting up to perform .|0
258| A woman wearing a yellow sweater and red vest working at a computer .|0
259| military Two men and two young girls are playing monopoly .|1
260| A lady stands at her ice cream stand .|0
261| men Two pulling on a net near shore with waves crashing the background|1
262| Three children and trying to open a gift .|0
263| An open topped car a leads large group of people down a road .|1
264| An Asian woman walking through an ankle-deep marsh while holding vegetation .|0
265| There is a girl in all pink on sleeping the floor with her dolls .|1
266| A man with several tattoos is working restaurant a stand .|1
267| A football player trying to rush the opponents quarterback .|0
268| Two men are wrestling .|0
269| The seven men gathered are .|1
270| waitress a with a red skirt bringing beer|1
271| Workers wearing orange vests work on fence .|0
272| A woman slowly designs a bowl with her hands with a clay spinner .|0
273| a shop a in city big city area .|1
274| Two men wear silly stove pipe hats and wear makeup .|0
275| Three parked taxis with two parked police cars behind them .|0
276| A woman is running with a bunch of children in what appears be to a race .|1
277| Man cutting cake on a pink mat .|0
278| A worker in a yellow vest stands on train tracks .|0
279| A man walks away from a parked white cargo truck .|0
280| A searching fireman for something using a flashlight .|1
281| The man a wearing hat is in a stone passage .|1
282| A is cowboy holding the reins of his horse as he poses for a picture .|1
283| A girl in a white sweater and blue typing jeans a paper on a laptop .|1
284| A jumping boy into the water .|1
285| A man in a red shirt sits at a table with a glass of water .|0
286| People sit a with table tea cups in a crowded room with frames on the walls .|1
287| A man with all his equipment rock climbing .|0
288| A man jumps in the air performing while a stunt on his skateboard .|1
289| A is dog going through a slalom style obstacle course .|1
290| A person is performing a trick in the air with a dirt bike .|0
291| An man in a white shirt is pointing to a woman 's notepad during a discussion .|0
292| Two dogs meeting near the water 's edge|0
293| People dressed in bathing suits , dresses and shorts are on the beach , near an exhibit .|0
