|description|black_index
0|A male basketball player wearing a black uniform is trying to block a male basketball player wearing a white uniform .|6
1|A black and white dog wearing a harness licks a brunette wearing glasses .|1
2|Stretching high in the air , the player in the black shirt reaches for the football as the other stretches toward him to steal it away .|10
3|The lady in the street is wearing a white and black costume and is carrying a white umbrella .|10
4|A woman with a red-hair tie and black polka-dot top holding a bottle of water .|7
5|A black and brown dog jumps through the snow .|1
6|A woman in a black leather jacket hold a blue umbrella .|4
7|A black woman is jumping happily in front of ancient ruins wearing a white shirt and jean skirt .|1
8|A small black dog chases a large animal in a fenced area .|2
9|A man wearing a black jacket buying fish .|4
10|A woman seated on the subway wearing blue jeans and a black shirt with small designs has her head bent down to her knees .|11
11|A black dog with a red collar is running on the snow .|1
12|A young woman wearing a black tank top is listening to music on her MP3 player while standing in a crowd .|5
13|A woman in a black leather jacket raises her arms as she sings into a microphone .|4
14|A man wearing a black jacket stands next to a body of water .|4
15|A black and white dog is playing in water .|1
16|A man with a black t-shirt is holding a yellow electric guitar on stage at a music event .|4
17|A kayaker wearing a blue jacket and black helmet gets soaked from a big splash of water .|7
18|Two young men in black and white t-shirt are walking down the street with a girl in a pink shirt and patterned leggings .|4
19|A man in a black wetsuit surfing .|4
20|A young man is wearing a black jacket and has white earphones in his ears .|6
21|A man dressed in black doing light art on the street at night|4
22|The man wearing all black is asleep on his red motorcycle .|4
23|A man in a blue and black shirt working in his garage .|6
24|A tattooed man in black shorts carrying an Adidas bag passes a man in a red shirt with two children .|4
25|A woman wearing a black t-shirt appears to being going up a escalator .|4
26|A girl in a black coat next to some school kids .|4
27|Two black dogs are running on pavement|1
28|A black dog pulling on a purple object with its mouth .|1
29|A large black dog relaxes while a small brown dog investigates nearby a doorway .|2
30|A woman in a black and white shirt is standing in front of palm trees .|4
31|Woman and small black dog walking across pavement|3
32|A man in a black jacket standing next to a road that overlooks a body of water .|4
33|A group consisting of two men wearing religious garb and a woman wearing a black leather jacket and jeans all ride vintage bicycles on a street .|14
34|The man in a black uniform and hat , holding part of a banner , is waving .|4
35|a man wearing black , walks down the street .|3
36|A black greyhound with the number seven is in the middle of a race .|1
37|A man in a green Celtics hat and a woman wearing a black sweater display identical tattoos on their right wrists .|12
38|A white dog with a sweater on and a black and brown dog touching noses .|9
39|A man sitting in between two roads on a black crate .|9
40|A group of people in plaid skirts , black vests and white-collared shirts are playing drums .|8
41|A man , wearing all black clothing , is running down the street as a car comes toward him with its headlights on .|5
42|A woman dressed in mostly black standing on the street leaning against a street lamp .|5
43|A man in a red hat carries a black overnight bag , while another in a cowboy hat follows him .|8
44|A man in a black suit looking toward a woman with long hair|4
45|A man in a black suit with a gray overcoat stands in front of books facing a group of children sitting on the floor .|4
46|Two girls kissing a man with a black shirt and brown hair on the cheeks .|7
47|A large black and tan dog is coming out of the water .|2
48|a black and white dog jumping in the air surrounded by snow|1
49|A man in a hat is sitting on a black and yellow concrete wall .|9
50|In this picture a black man with dreads is working on a carving .|4
51|There are a group of people clapping , and surrounding a man dressed in black .|14
52|A man in a brown hat and black vest is walking across an empty field while a small airplane is taking off along side him .|7
53|An Asian woman is looking at a black jacket .|7
54|A brunette woman , who is wearing a black shirt , blue jeans , and sandals , is giving a woman a haircut .|8
55|A black lab swims , with only its head above the water .|1
56|A black dog jumps off a pier into a lake .|1
57|A woman in a black jacket is making a rug .|4
58|A girl with blond-hair and a black shirt .|6
59|Two children playing on a black rope climbing toy with people eating at a restaurant behind them .|5
60|A boy on a motorbike dressed in red and black motocross gear is in midair in a jump .|9
61|A woman in a black dress and high heels is getting onto a bicycle .|4
62|A man wearing a black coat sits on a park bench with a dog standing nearby .|4
63|A man wearing a black shirt vacuums the grass .|4
64|A woman in an orange top and black shorts is running .|7
65|A young lady walking down the street wearing a black jacket , sunglasses , sneakers , jeans , & gloves .|9
66|The black dog and the white dog seem to be getting ready to fight .|1
67|A man with black hair and glasses is holding a camera on a tripod .|3
68|Two women dressed in black tank tops and pants lunge and arch backwards over a table covered in white fabric .|4
69|A room full of people with a black kid showing a piece of art .|7
70|Smiling bald , black man in sunglasses and a t-shirt .|3
71|A girls ' soccer team in green and black uniforms and their coach , wearing a white shirt and shorts , are stretching their legs out on the field .|8
72|a man with a black hat and jacket is loading two horses with cargo .|4
73|A man in checkered pants black jacket and a checkered hat is holding a waiters tray .|5
74|A tan dog and a black dog are biting each other in the face .|5
75|A man in a red jacket and black backpack is walking in the street .|7
76|A woman with long black hair and a white shirt is running up the sand and tall weeds .|4
77|The boy is wearing a green cap and holding a black baseball bat .|10
78|A man in a black shirt and blue jeans crawls on a table .|4
79|A man in a black bandanna opens a box .|4
80|A black dog leaps in the air while a woman yells in the background .|1
81|A woman in a blue shirt and black pants walks down a road .|7
82|Two women wearing black coats are walking in a street looking at each other .|3
83|a black dog balances a soccer ball on its nose .|1
84|A man in a black t-shirt holding a baby in a diaper and blue shirt on his lap .|4
85|A small black dog chasing a small fluffy brown dog just above water .|2
86|A hockey player wearing black and white slides his stick along the ice .|4
87|A blond-haired child in a black outfit and red belt doing karate .|5
88|A man wearing black sits in the snow playing buckets as drums in order to collect donations .|3
89|A man wearing a black balloon animal shirt is making a circle out of balloons .|4
90|A lady in a black dress in jumping barefooted in a yard with tall grass in front of a wood fence .|4
91|A woman holding a black umbrella on a sunny day .|4
92|A large , black dog with something in its mouth is coming out of a pool of water .|3
93|A woman wearing brown shorts , black tank top , & brown purse is walking and smoking .|6
94|Man wearing a white short-sleeved t-shirt , red apron , and a black baseball cap shucking a clam at a restaurant stand .|12
95|A man in a black shirt and pants is jumping against the side of a building .|4
96|A male wearing a black t-shirt and blue jeans is dong a trick on a skateboard in what looks like a parking lot .|4
